company,industry,title,street,city,state,postal,latitude,longitude,description,salary
Jatri,Support,Web Developer I,8 Westend Avenue,Tulsa,OK,74108,36.1499,-95.7923,Optimized even-keeled function,$186707.36
Wordify,Marketing,Human Resources Manager,858 Derek Road,Las Vegas,NV,89115,36.2158,-115.0671,Networked maximized adapter,$104938.35
Jabbercube,Support,Paralegal,8 Calypso Alley,Iowa City,IA,52245,41.6649,-91.5151,Diverse context-sensitive projection,$176689.51
Gabtune,Legal,Legal Assistant,91198 Morrow Lane,Topeka,KS,66699,39.0429,-95.7697,Inverse radical complexity,$179523.18
LiveZ,Engineering,Research Nurse,79760 Ridgeway Circle,Lexington,KY,40505,38.0612,-84.4583,Extended zero defect interface,$162787.96
Divape,Research and Development,GIS Technical Architect,73 Marcy Terrace,Honolulu,HI,96820,21.351,-157.8795,Triple-buffered multi-tasking migration,$41452.21
Omba,Marketing,Accounting Assistant III,4 Debra Street,Phoenix,AZ,85053,33.6299,-112.1316,Reactive user-facing instruction set,$112627.35
Zoombeat,Sales,Director of Sales,47172 Kennedy Plaza,El Paso,TX,79923,31.6948,-106.3,Balanced systematic secured line,$77074.93
Topdrive,Research and Development,Business Systems Development Analyst,69557 Warner Drive,Pasadena,CA,91199,34.1478,-118.1436,Distributed 4th generation emulation,$145298.06
Zoomcast,Support,Director of Sales,269 Sycamore Hill,Pittsburgh,PA,15225,40.5051,-80.1155,Customizable neutral secured line,$96527.58
Thoughtmix,Legal,Quality Engineer,22906 Elmside Terrace,Washington,DC,20508,38.8933,-77.0146,Secured responsive superstructure,$44060.97
Wordtune,Support,Health Coach II,6713 Forest Dale Court,Las Vegas,NV,89125,36.2235,-115.2655,Devolved exuding portal,$87218.57
Babbleopia,Legal,Health Coach I,47 Homewood Plaza,Atlanta,GA,30380,33.8444,-84.474,Down-sized empowering open system,$151245.87
Einti,Services,Senior Quality Engineer,863 Sullivan Park,San Diego,CA,92105,32.7423,-117.0947,Right-sized disintermediate leverage,$95313.86
Chatterpoint,Sales,General Manager,41937 School Avenue,Temple,TX,76505,31.0363,-97.492,Adaptive reciprocal challenge,$116202.67
Livetube,Sales,Office Assistant I,9 Bartillon Junction,Pittsburgh,PA,15261,40.4344,-80.0248,Pre-emptive responsive instruction set,$94121.43
Skipstorm,Support,Teacher,812 Carioca Alley,Las Vegas,NV,89145,36.1693,-115.2828,Optimized impactful budgetary management,$112912.97
Bluejam,Accounting,Financial Analyst,137 Continental Trail,Seattle,WA,98104,47.6036,-122.3256,Fundamental leading edge middleware,$115539.00
Shufflester,Human Resources,Tax Accountant,70333 Pankratz Center,Annapolis,MD,21405,39.0305,-76.5515,Configurable heuristic middleware,$164506.67
Feedmix,Product Management,Tax Accountant,39 Sundown Center,Portland,OR,97271,45.5806,-122.3748,Mandatory fault-tolerant frame,$198966.20
Voonyx,Product Management,Assistant Manager,71001 Surrey Way,Lansing,MI,48956,42.7325,-84.5587,Switchable stable challenge,$159579.96
Realcube,Research and Development,Engineer I,750 New Castle Court,San Diego,CA,92153,33.0169,-116.846,Enterprise-wide tertiary adapter,$97479.57
Myworks,Product Management,Graphic Designer,248 6th Way,Miami,FL,33124,25.5584,-80.4582,Seamless 24/7 solution,$53727.65
Kwideo,Marketing,Research Assistant III,9 2nd Park,Ogden,UT,84403,41.1894,-111.9489,Reduced national productivity,$169391.43
Twitterbeat,Research and Development,Dental Hygienist,410 Macpherson Circle,Omaha,NE,68117,41.2064,-95.9953,Re-contextualized client-server benchmark,$60727.52
Mydo,Accounting,Internal Auditor,469 Carpenter Hill,Oklahoma City,OK,73179,35.4242,-97.6547,Secured real-time software,$71885.27
Kare,Marketing,Office Assistant I,723 Esker Terrace,Terre Haute,IN,47805,39.5327,-87.3255,De-engineered 24 hour function,$79261.88
Skyndu,Legal,Nurse,1 Sauthoff Point,Richmond,CA,94807,37.7772,-121.9554,Progressive eco-centric matrices,$98522.25
Fadeo,Business Development,Research Associate,16 Erie Parkway,Flint,MI,48550,43.0349,-83.6887,Configurable empowering alliance,$145735.63
Yozio,Marketing,Dental Hygienist,25045 Ludington Lane,Fort Lauderdale,FL,33320,26.1625,-80.2582,Self-enabling multi-tasking help-desk,$43674.73
Avamba,Services,Software Consultant,61 Boyd Crossing,Augusta,GA,30919,33.386,-82.091,Vision-oriented fresh-thinking workforce,$61998.25
Trudeo,Human Resources,Health Coach I,081 Gerald Terrace,Pompano Beach,FL,33064,26.2785,-80.1157,Visionary value-added service-desk,$64574.04
Blogtag,Accounting,Administrative Assistant IV,53 New Castle Avenue,Washington,DC,20067,38.8933,-77.0146,Implemented 4th generation flexibility,$47692.61
Meevee,Engineering,Research Assistant II,63 Russell Avenue,Colorado Springs,CO,80995,38.8247,-104.562,Assimilated asynchronous algorithm,$99159.25
Leexo,Legal,Executive Secretary,4 Merchant Hill,Spokane,WA,99220,47.6536,-117.4317,Inverse maximized capability,$134365.78
Einti,Business Development,Design Engineer,8438 Scofield Point,Glendale,AZ,85305,33.5291,-112.2482,Reactive local knowledge base,$128553.73
Babblestorm,Services,Data Coordiator,0430 Dapin Place,Anchorage,AK,99507,61.1535,-149.8289,Profound secondary internet solution,$96500.38
Kwideo,Services,Analog Circuit Design manager,8 Melvin Hill,Alexandria,VA,22313,38.8158,-77.09,Decentralized foreground superstructure,$73207.89
Yodo,Research and Development,Nuclear Power Engineer,97280 Morrow Terrace,Newark,DE,19714,39.5645,-75.597,Customer-focused user-facing frame,$122647.86
Talane,Marketing,Software Engineer IV,5 Commercial Park,Washington,DC,20599,38.8933,-77.0146,Multi-lateral composite secured line,$44694.04
Realcube,Engineering,Administrative Assistant III,8 Kim Road,Oakland,CA,94605,37.7641,-122.1633,Triple-buffered even-keeled secured line,$107461.40
Dabvine,Marketing,Senior Financial Analyst,99175 Main Point,Huntsville,AL,35815,34.734,-86.5229,Programmable full-range time-frame,$140142.86
Agivu,Human Resources,Civil Engineer,7 Kropf Crossing,Cedar Rapids,IA,52405,41.9804,-91.7098,Multi-channelled disintermediate concept,$95134.26
Fivespan,Services,VP Marketing,25 North Park,Bronx,NY,10474,40.8139,-73.8841,Compatible user-facing help-desk,$57121.80
Fivespan,Research and Development,Mechanical Systems Engineer,77199 Homewood Avenue,Austin,TX,78715,30.4501,-97.4865,Realigned 24/7 data-warehouse,$178667.17
Livetube,Legal,Tax Accountant,9 Clemons Plaza,Bethesda,MD,20816,38.9585,-77.1153,Reverse-engineered clear-thinking toolset,$111425.93
Browsedrive,Training,Professor,44127 Charing Cross Parkway,Baltimore,MD,21281,39.2847,-76.6205,Diverse object-oriented instruction set,$132720.85
Eare,Engineering,Assistant Media Planner,6325 Annamark Alley,Cleveland,OH,44130,41.3826,-81.7964,Pre-emptive incremental migration,$196356.59
Tagpad,Business Development,Registered Nurse,13635 American Parkway,New York City,NY,10014,40.7339,-74.0054,Reduced radical attitude,$165316.58
Roomm,Support,Technical Writer,759 Mandrake Trail,Katy,TX,77493,29.8678,-95.8298,Pre-emptive maximized budgetary management,$51916.73
Cogibox,Sales,Research Associate,45995 Vidon Avenue,Erie,PA,16505,42.1109,-80.1534,Fundamental 24/7 firmware,$46093.59
Yata,Sales,Account Executive,5250 Steensland Drive,Greensboro,NC,27455,36.1824,-79.806,Ameliorated dynamic collaboration,$180732.09
Topicware,Services,Social Worker,40805 Golf View Trail,Sioux City,IA,51105,42.5032,-96.3829,Virtual methodical orchestration,$107268.40
Avamm,Human Resources,Health Coach II,54116 Milwaukee Drive,Baltimore,MD,21290,39.2933,-76.6238,Innovative client-server function,$191951.99
Zoomdog,Marketing,Chemical Engineer,001 Armistice Street,Minneapolis,MN,55407,44.9378,-93.2545,Focused fault-tolerant adapter,$86107.06
Riffpedia,Training,Financial Advisor,27101 Springview Place,Sacramento,CA,95838,38.6406,-121.444,Organized background functionalities,$168784.12
Demivee,Legal,Biostatistician IV,25 Basil Plaza,Homestead,FL,33034,25.2846,-80.6246,Reactive disintermediate hierarchy,$140908.57
Kwideo,Accounting,Executive Secretary,232 Monica Hill,Bloomington,IN,47405,39.1682,-86.5186,Assimilated uniform attitude,$196011.66
Fivechat,Marketing,Payment Adjustment Coordinator,4851 Stone Corner Circle,Chicago,IL,60686,41.8756,-87.6378,User-centric solution-oriented secured line,$106129.43
Mydo,Human Resources,Data Coordiator,90 Gateway Street,Ann Arbor,MI,48107,42.2535,-83.8366,Open-architected executive firmware,$139932.68
Kazio,Training,Administrative Assistant II,4630 Dunning Alley,Denver,CO,80241,39.9274,-104.9548,Balanced intermediate time-frame,$109757.95
Skibox,Business Development,Assistant Manager,242 Corscot Alley,Albuquerque,NM,87110,35.1104,-106.5781,Multi-channelled fresh-thinking groupware,$58704.54
Mycat,Engineering,Clinical Specialist,236 Clove Drive,Huntington,WV,25721,38.4134,-82.2774,Future-proofed 5th generation solution,$116978.97
Aimbo,Human Resources,Computer Systems Analyst IV,0171 Orin Circle,Littleton,CO,80161,39.7388,-104.4083,Optional mission-critical open architecture,$194376.75
Rhynoodle,Business Development,Technical Writer,7295 Gina Plaza,Kansas City,MO,64193,39.035,-94.3567,Face to face fault-tolerant migration,$189133.44
Bubblemix,Human Resources,Legal Assistant,601 Logan Plaza,Rochester,NY,14652,43.286,-77.6843,Profit-focused holistic neural-net,$40236.60
Realblab,Marketing,Safety Technician I,14485 Eggendart Road,Mobile,AL,36641,30.6589,-88.178,Re-contextualized actuating capability,$52658.62
Photofeed,Training,Tax Accountant,4975 Mosinee Center,Montgomery,AL,36114,32.404,-86.2539,Universal static toolset,$151743.99
Rhyloo,Business Development,Account Executive,730 Kedzie Avenue,Grand Rapids,MI,49518,43.0314,-85.5503,Horizontal 24 hour time-frame,$64145.85
BlogXS,Services,Help Desk Technician,19352 Sauthoff Plaza,Washington,DC,20456,38.8981,-77.0401,Team-oriented 5th generation system engine,$65668.85
Gigazoom,Services,Research Nurse,27862 Anzinger Road,Baton Rouge,LA,70894,30.5159,-91.0804,Self-enabling high-level moderator,$169363.61
Kamba,Business Development,Graphic Designer,0 Red Cloud Terrace,Albuquerque,NM,87121,35.0512,-106.7269,Open-source methodical infrastructure,$161508.85
Meetz,Engineering,Social Worker,26 Porter Road,Knoxville,TN,37931,35.9924,-84.1201,Secured system-worthy projection,$190627.14
Topdrive,Support,Actuary,02098 South Pass,Houston,TX,77206,29.834,-95.4342,Virtual multi-state open architecture,$92555.45
Skidoo,Engineering,Product Engineer,44 Susan Park,Saint Louis,MO,63180,38.6531,-90.2435,Team-oriented heuristic workforce,$78157.40
Einti,Sales,Desktop Support Technician,35 Blaine Street,Harrisburg,PA,17110,40.303,-76.8862,Assimilated fault-tolerant functionalities,$148796.83
Devcast,Human Resources,Software Engineer IV,0 Northview Way,Youngstown,OH,44505,41.1257,-80.6277,Upgradable interactive flexibility,$138111.30
Digitube,Human Resources,Junior Executive,5999 Kings Lane,Santa Barbara,CA,93111,34.4453,-119.8025,Versatile upward-trending data-warehouse,$157611.53
Skajo,Product Management,General Manager,3 Buell Street,Delray Beach,FL,33448,26.6459,-80.4303,Stand-alone neutral emulation,$106064.85
Topicware,Business Development,Account Representative IV,5 John Wall Trail,Moreno Valley,CA,92555,33.9377,-117.1851,Proactive homogeneous approach,$65962.13
Wikivu,Services,Senior Developer,5 Mesta Court,Fayetteville,NC,28314,35.0583,-79.008,Open-architected background emulation,$159680.88
Meevee,Marketing,Software Consultant,97666 Sunbrook Park,Charleston,WV,25356,38.2968,-81.5547,Customizable analyzing conglomeration,$87912.37
Meejo,Services,Web Developer III,7590 Dorton Alley,Winston Salem,NC,27110,36.0275,-80.2073,Realigned grid-enabled algorithm,$151271.62
Vidoo,Services,Account Executive,04 Mockingbird Drive,Des Moines,IA,50320,41.5487,-93.5827,Automated didactic data-warehouse,$188262.97
Skibox,Training,Systems Administrator II,443 Scofield Avenue,El Paso,TX,88541,31.6948,-106.3,Fundamental non-volatile database,$73737.05
Skippad,Business Development,Analog Circuit Design manager,815 Linden Pass,Birmingham,AL,35215,33.6493,-86.7057,Sharable global superstructure,$86703.33
Dabfeed,Product Management,Help Desk Technician,2386 Mockingbird Road,Scranton,PA,18514,41.4019,-75.6376,Seamless bifurcated orchestration,$169596.31
Meeveo,Business Development,Structural Analysis Engineer,8649 Evergreen Circle,New York City,NY,10170,40.7526,-73.9755,Fundamental coherent project,$181517.56
Linktype,Engineering,Tax Accountant,50468 Monterey Parkway,Kingsport,TN,37665,36.5799,-82.5733,Mandatory bifurcated hub,$155212.65
Babbleblab,Engineering,VP Sales,52 Brown Alley,Corona,CA,92883,33.7541,-117.474,Re-engineered mission-critical application,$133778.64
Shuffletag,Services,Senior Editor,533 Sutherland Crossing,Worcester,MA,01610,42.2492,-71.8108,Extended reciprocal artificial intelligence,$167210.50
Voonte,Accounting,Software Consultant,44 Dunning Park,Bronx,NY,10469,40.8702,-73.8495,Cloned cohesive moratorium,$198878.67
Jabbersphere,Legal,Staff Scientist,4 Karstens Junction,Flint,MI,48550,43.0349,-83.6887,Operative stable interface,$140557.96
Riffpath,Sales,Associate Professor,967 Sloan Avenue,Las Vegas,NV,89115,36.2158,-115.0671,Down-sized user-facing help-desk,$95424.07
Flashspan,Support,Web Developer II,50 Stuart Pass,Orlando,FL,32813,28.5679,-81.3258,Persevering client-server structure,$196280.16
Youfeed,Services,Recruiting Manager,8 Mariners Cove Alley,Richmond,CA,94807,37.7772,-121.9554,Operative zero defect implementation,$145255.24
Skinder,Human Resources,Nurse Practicioner,5496 Stang Pass,Washington,DC,20566,38.8971,-77.0554,Multi-channelled coherent service-desk,$59106.31
Lajo,Legal,Geological Engineer,1167 Longview Circle,Grand Rapids,MI,49518,43.0314,-85.5503,Cross-platform grid-enabled workforce,$194049.76
Teklist,Product Management,Administrative Assistant I,0 Leroy Court,Fairfax,VA,22036,38.7351,-77.0796,Fundamental exuding workforce,$44682.90
Viva,Support,Quality Control Specialist,8081 Carberry Court,Birmingham,AL,35231,33.5446,-86.9292,Cross-group maximized hierarchy,$41066.06
Realpoint,Accounting,Web Developer I,0 Eagan Hill,New York City,NY,10029,40.7918,-73.9448,Versatile background groupware,$131048.95
Agimba,Research and Development,Graphic Designer,9 Autumn Leaf Crossing,Kissimmee,FL,34745,27.9953,-81.2593,Compatible bifurcated portal,$86861.55
Jaxnation,Legal,Automation Specialist IV,1674 Arrowood Court,Milwaukee,WI,53205,43.0528,-87.9353,Reverse-engineered contextually-based framework,$68253.81
Tagopia,Marketing,Research Assistant I,174 Red Cloud Center,Fresno,CA,93721,36.7377,-119.7843,Optimized 5th generation access,$173995.73
Mydo,Marketing,Civil Engineer,2 Knutson Trail,Honolulu,HI,96805,21.3062,-157.8585,Front-line fault-tolerant intranet,$67746.03
Edgetag,Training,Registered Nurse,811 Scoville Crossing,Pittsburgh,PA,15261,40.4344,-80.0248,De-engineered radical architecture,$95440.64
Katz,Legal,Assistant Media Planner,6813 Anthes Court,Washington,DC,20078,38.8933,-77.0146,Synergistic mission-critical neural-net,$53400.63
Livefish,Human Resources,Software Engineer III,352 Paget Court,Buffalo,NY,14225,42.9255,-78.7481,Up-sized responsive installation,$69581.27
Roomm,Marketing,Librarian,79 Stoughton Way,Baltimore,MD,21281,39.2847,-76.6205,User-friendly actuating focus group,$48788.98
Vinder,Training,Automation Specialist II,069 Mcbride Plaza,Montgomery,AL,36114,32.404,-86.2539,Multi-lateral explicit monitoring,$117008.80
