State,Type,Description,URL
Indiana,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
Indiana,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
Indiana,UI by Phone,Telephone support for filing unemployment insurance,https://www2.illinois.gov/ides/aboutides/Pages/Contact_IDES.aspx
,,,
Kansas,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.getkansasbenefits.gov/Home.aspx
Kansas,UI Claim Online,"Website for filing unemployment insurance
",https://www.getkansasbenefits.gov/BenefitsStartMenu.aspx
Kansas,UI by Phone,Telephone support for filing unemployment insurance,https://www.dol.ks.gov/contact-kdol
,,,
Kentucky,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://kcc.ky.gov/career/If-you-are-Unemployed/Pages/default.aspx
Kentucky,UI Claim Online,"Website for filing unemployment insurance
",http://www.kewes.ky.gov/
Kentucky,UI by Phone,Telephone support for filing unemployment insurance,http://www.kewes.ky.gov/
,,,
Louisiana,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.louisianaworks.net/hire/vosnet/Default.aspx
Louisiana,UI Claim Online,"Website for filing unemployment insurance
",https://www.louisianaworks.net/hire/vosnet/loginintro.aspx?action=CLAIMWEEKS
Louisiana,UI by Phone,Telephone support for filing unemployment insurance,1-866-783-5567
,,,
Massachusetts,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.mass.gov/orgs/department-of-unemployment-assistance
Massachusetts,UI Claim Online,"Website for filing unemployment insurance
",https://www.mass.gov/unemployment-insurance-ui-online
Massachusetts,UI by Phone,Telephone support for filing unemployment insurance,https://www.mass.gov/orgs/department-of-unemployment-assistance
,,,
Maryland,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dllr.state.md.us/employment/unemployment.shtml
Maryland,UI Claim Online,"Website for filing unemployment insurance
",http://www.dllr.state.md.us/employment/unemployment.shtml
Maryland,UI by Phone,Telephone support for filing unemployment insurance,http://www.dllr.state.md.us/employment/officenum.shtml
,,,
Maine,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.maine.gov/unemployment/claimants/
Maine,UI Claim Online,"Website for filing unemployment insurance
",https://reemployme.maine.gov/accessme/faces/login/login_local.xhtml
Maine,UI by Phone,Telephone support for filing unemployment insurance,https://www.maine.gov/labor/unemployment/howtofile.html#phone
,,,
Michigan,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.michigan.gov/uia
Michigan,UI Claim Online,"Website for filing unemployment insurance
","https://www.michigan.gov/uia/0,1607,7-118-52610_52650-207424--,00.html"
Michigan,UI by Phone,Telephone support for filing unemployment insurance,"https://www.michigan.gov/uia/0,4680,7-118-52610-207602--,00.html"
,,,
Minnesota,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.uimn.org/uimn/
Minnesota,UI Claim Online,"Website for filing unemployment insurance
","
http://www.uimn.org/uimn/applicants/index.jsp"
Minnesota,UI by Phone,Telephone support for filing unemployment insurance,https://www.uimn.org/applicants/contact-us/index.jsp
,,,
Missouri,UI General Insurance Info,General Information about the Unemployment Insurance Program,"
https://labor.mo.gov/unemployed-workers"
Missouri,UI Claim Online,"Website for filing unemployment insurance
",https://uinteract.labor.mo.gov/benefits/home.do
Missouri,UI by Phone,Telephone support for filing unemployment insurance,https://labor.mo.gov/contact-labor
,,,
Mississippi,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.mdes.ms.gov/information-center/about-mdes/online-services/
Mississippi,UI Claim Online,"Website for filing unemployment insurance
",http://www.mdes.ms.gov/
Mississippi,UI by Phone,Telephone support for filing unemployment insurance,1-888-844-3577
,,,
Montana,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://uid.dli.mt.gov/
Montana,UI Claim Online,"Website for filing unemployment insurance
",https://montanaworks.gov/Job-Seeker-UI-Claimant
Montana,UI by Phone,Telephone support for filing unemployment insurance,406-444-2545
,,,
North Carolina,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://des.nc.gov/apply-unemployment
North Carolina,UI Claim Online,"Website for filing unemployment insurance
",https://fed.des.nc.gov/ofis/citizen/pages/public/Login.aspx
North Carolina,UI by Phone,Telephone support for filing unemployment insurance,1-877-737-0259
,,,
North Dakota,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.jobsnd.com/unemployment-individuals
North Dakota,UI Claim Online,"Website for filing unemployment insurance
",https://www.jobsnd.com/unemployment-individuals/resources-unemployment-individuals
North Dakota,UI by Phone,Telephone support for filing unemployment insurance,701-328-4995
,,,
Nebraska,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dol.nebraska.gov/UIBenefits
Nebraska,UI Claim Online,"Website for filing unemployment insurance
",https://neworks.nebraska.gov/vosnet/Default.aspx
Nebraska,UI by Phone,Telephone support for filing unemployment insurance,"
https://uibenefits.nwd.ne.gov/BPSWeb/jsp/BPSTelephone.jsp"
,,,
New Hampshire,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.nhes.nh.gov/services/claimants/index.htm
New Hampshire,UI Claim Online,"Website for filing unemployment insurance
",https://nhuis.nh.gov/claimant/
New Hampshire,UI by Phone,Telephone support for filing unemployment insurance,1-800-266-2252
,,,
New Jersey,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://myunemployment.nj.gov/labor/myunemployment/before/about/
New Jersey,UI Claim Online,"Website for filing unemployment insurance
",https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/index.shtml
New Jersey,UI by Phone,Telephone support for filing unemployment insurance,https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/applybyphone.shtml
,,,
New Mexico,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dws.state.nm.us/en-us/
New Mexico,UI Claim Online,"Website for filing unemployment insurance
",http://www.dws.state.nm.us/en-us/
New Mexico,UI by Phone,Telephone support for filing unemployment insurance,1-877-664-6984
,,,
Nevada,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://ui.nv.gov/css.html
Nevada,UI Claim Online,"Website for filing unemployment insurance
",http://ui.nv.gov/css.html
Nevada,UI by Phone,Telephone support for filing unemployment insurance,http://ui.nvdetr.org/uinv_contact_us.htm
,,,
New York,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.ny.gov/unemploymentassistance.shtm
New York,UI Claim Online,"Website for filing unemployment insurance
",https://applications.labor.ny.gov/IndividualReg/
New York,UI by Phone,Telephone support for filing unemployment insurance,https://labor.ny.gov/ui/claimantinfo/ContactInfo.shtm
,,,
Ohio,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://unemployment.ohio.gov/PublicSelfServiceChoice.html
Ohio,UI Claim Online,"Website for filing unemployment insurance
",http://jfs.ohio.gov/ouc/
Ohio,UI by Phone,Telephone support for filing unemployment insurance,1-877-644-6562
,,,
Oklahoma,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://oesc.ok.gov
Oklahoma,UI Claim Online,"Website for filing unemployment insurance
",https://ui.ok.gov
Oklahoma,UI by Phone,Telephone support for filing unemployment insurance,1-800-555-1554
,,,
Oregon,UI General Insurance Info,General Information about the Unemployment Insurance Program,
Oregon,UI Claim Online,"Website for filing unemployment insurance
",https://secure.emp.state.or.us/ocs4/index.cfm?u=F20161026A115006B48721263.5255&lang=E
Oregon,UI by Phone,Telephone support for filing unemployment insurance,https://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx#
,,,
Pennsylvania,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.uc.pa.gov/unemployment-benefits/file/Pages/File%20an%20Initial%20Claim.aspx
Pennsylvania,UI Claim Online,"Website for filing unemployment insurance
",http://www.uc.pa.gov/unemployment-benefits/Pages/default.aspx#.VszW2PkrLcs
Pennsylvania,UI by Phone,Telephone support for filing unemployment insurance,"http://www.uc.pa.gov/pages/contact-us-uc-benefits-info.aspx
"
,,,
Puerto Rico,UI General Insurance Info,General Information about the Unemployment Insurance Program,"https://desempleo.trabajo.pr.gov/reclamacionsubsiguiente/
"
Puerto Rico,UI Claim Online,"Website for filing unemployment insurance
",https://www.trabajo.pr.gov/desempleo_en_linea.asp
Puerto Rico,UI by Phone,Telephone support for filing unemployment insurance,"http://www.servicelocator.org/search/Puerto_Rico_ES_Addresses.asp
"
,,,
Rhode Island,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dlt.ri.gov/ui/
Rhode Island,UI Claim Online,"Website for filing unemployment insurance
",http://www.dlt.ri.gov/ui/
Rhode Island,UI by Phone,Telephone support for filing unemployment insurance,http://www.dlt.state.ri.us/ui/fileclaim2.htm
,,,
South Carolina,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dew.sc.gov/individuals/apply-for-benefits/claims-process
South Carolina,UI Claim Online,"Website for filing unemployment insurance
",http://dew.sc.gov
South Carolina,UI by Phone,Telephone support for filing unemployment insurance,1-800-529-8339.
,,,
South Dakota,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://dlr.sd.gov/ui/individuals/file_claim.aspx
South Dakota,UI Claim Online,"Website for filing unemployment insurance
",http://dlr.sd.gov/ui/default.aspx
South Dakota,UI by Phone,Telephone support for filing unemployment insurance,605-626-3179
,,,
Tennessee,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.tn.gov/workforce/unemployment.html
Tennessee,UI Claim Online,"Website for filing unemployment insurance
",https://www.tn.gov/workforce/unemployment.html
Tennessee,UI by Phone,Telephone support for filing unemployment insurance,844-224-5818
,,,
Texas,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.twc.state.tx.us/jobseekers/unemployment-benefits-services
Texas,UI Claim Online,"Website for filing unemployment insurance
",https://www.twc.texas.gov/jobseekers/unemployment-benefits-services
Texas,UI by Phone,Telephone support for filing unemployment insurance,"https://www.twc.texas.gov/jobseekers/applying-unemployment-benefits#howToApply
"
Texas,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,
Texas,UI Offices,Local unemployment offices,
Texas,UI Community,"Local community organizations (nonprofits, churches, etc)",
Texas,UI Emergency,Emergency relief funding based on where you live (county or city),
Texas,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.dol.gov/agencies/eta/wioa/about/
Texas,UI College,Scholarships / grants for college,
Texas,UI Child Care,Funding for child services,
Texas,UI Small Business,Grants for small business owners,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options
Texas,UI Rent,Rent / mortgage assistance,https://www.makinghomeaffordable.gov/pages/default.aspx
Texas,UI Health,Health insurance assistance,https://www.tdi.texas.gov//takefive/health-insurance-options.html
Texas,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",
,,,
,,,
Utah,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://jobs.utah.gov/ui/initialclaims/welcome.aspx
Utah,UI Claim Online,"Website for filing unemployment insurance
",https://jobs.utah.gov/ui/ContinuedClaims/UIAccountHome.aspx
Utah,UI by Phone,Telephone support for filing unemployment insurance,https://jobs.utah.gov/ui/jobseeker/contactus.html
,,,
Virginia,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.vec.virginia.gov/unemployed/online-services/apply-for-unemployment-benefits
Virginia,UI Claim Online,"Website for filing unemployment insurance
",http://www.vec.virginia.gov/unemployed
Virginia,UI by Phone,Telephone support for filing unemployment insurance,1-866-832-2363
,,,
Vermont,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.vermont.gov/unemployment-insurance/
Vermont,UI Claim Online,"Website for filing unemployment insurance
",http://labor.vermont.gov/unemployment-insurance/unemployed/establishing-an-unemployment-claim/
Vermont,UI by Phone,Telephone support for filing unemployment insurance,1-877-214-3331.
,,,
Washington,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://esd.wa.gov/unemployment
Washington,UI Claim Online,"Website for filing unemployment insurance
","https://secure.esd.wa.gov/home/
"
Washington,UI by Phone,Telephone support for filing unemployment insurance,1-800-318-6022
,,,
Wisconsin,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dwd.wisconsin.gov/uiben/
Wisconsin,UI Claim Online,"Website for filing unemployment insurance
",https://dwd.wisconsin.gov/ui/
Wisconsin,UI by Phone,Telephone support for filing unemployment insurance,https://dwd.wisconsin.gov/uiben/services.htm#help
,,,
West Virginia,UI General Insurance Info,General Information about the Unemployment Insurance Program,"http://workforcewv.org/unemployment.html
"
West Virginia,UI Claim Online,"Website for filing unemployment insurance
","https://workforcewv.org/unemployment/claimants/filing-an-initial-claim
"
West Virginia,UI by Phone,Telephone support for filing unemployment insurance,"https://uc.workforcewv.org/Contact.aspx
"
,,,
Wyoming,UI General Insurance Info,General Information about the Unemployment Insurance Program,"http://www.wyomingworkforce.org/workers/ui/
"
Wyoming,UI Claim Online,"Website for filing unemployment insurance
",https://doe.state.wy.us/InetClaims/
Wyoming,UI by Phone,Telephone support for filing unemployment insurance,307-473-3789
