,Company,Location,Type,Title,Description,Company_url,Company_logo,Latitude,Longitude
30,Lawrence Berkeley National Laboratory ,Berkeley,Full Time,Web Developer (The Materials Project) ,"<p>Web Developer (The Materials Project) - 90287
Organization:  ED-Energy Storage &amp; Distributed Resources</p>
<p>Berkeley Lab’s Energy Storage &amp; Distributed Resources (ESDR) Division has an opening for a Web Developer to join the Materials Project!</p>
<p>In this role, you will work in a small team composed of both computer scientists and materials scientists, a team that will continue to grow and evolve as our fast-paced project pushes new boundaries. We are seeking web developers and designers who are versatile and passionate about both the front-end, ready to tackle new problems as we continue to push technology and science forward.</p>
<p>Be part of the revolution in scientific and technological breakthroughs brought on by advanced computing.  We are looking for someone with the desire and imagination to drive the Materials Project in new and exciting directions as the number and diversity of our simulations grow.</p>
<p>The Materials Project (<a href=""http://www.materialsproject.org"">www.materialsproject.org</a>) is a leader in the new wave of ""data-driven science"" that is already affecting how thousands of scientists, many of them world leaders in their fields, connect, explore, and interact with information and one another. We use millions of CPU-hours a year to compute the properties of advanced new materials, and disseminate the information with web interfaces and APIs.</p>
<p>What You Will Do:</p>
<ul>
<li>Develop and manage the Materials Project website: <a href=""http://www.materalsproject.org"">www.materalsproject.org</a>
</li>
<li>Develop responsive front-ends for scientists ranging from undergraduate students to senior researchers and professors.</li>
<li>Optimize website design for usability, scalability, and speed.</li>
<li>Write well designed and testable code in HTML/CSS/JS.</li>
<li>Employ continuous integration and deployment practices to ensure code quality and rapid development of new features.</li>
<li>Utilize website testing and web analytics to optimize website performance.</li>
<li>Develop new means of exploring, visualizing and sharing materials data.</li>
<li>Design and implement new “apps” for new types of materials analyses, such as assessing next-generation battery properties or stability of CO2 capturing catalysts in water.</li>
<li>Expand the project to new territories, such as crowdsourced discovery of new materials and ""sandboxes"" for private exploration of interesting chemical compounds.</li>
<li>Participate in discussions with science teams, workshops, and weekly meetings.</li>
</ul>
<p>What is Required:</p>
<ul>
<li>Bachelor’s Degree in Computer Science or a related discipline and a minimum of 5 years of related technical experience or an equivalent combination of education and experience.</li>
<li>Experience writing HTML, CSS and modern JavaScript (ES6) or TypeScript.</li>
<li>Experience building web sites with modern frontend web frameworks such as React, Angular, or Vue.</li>
<li>Experience working collaboratively using Git-based workflows.</li>
<li>Experience developing CI/CD pipelines for web projects.</li>
<li>Experience with Containerized service deployments.</li>
<li>Knowledge of User interface design principles and API Protocols including REST.</li>
</ul>
<p>What We Prefer:</p>
<ul>
<li>Master’s Degree in Computer Science or a related discipline.</li>
<li>Experience with mockup/wireframe/prototyping tools.</li>
<li>Knowledge of Authentication protocols and standards such as OAuth, OpenID and CAS.</li>
<li>Experience with NoSQL databases with MongoDB.</li>
<li>Experience with Firewall configuration.</li>
<li>Experience with Log analysis.</li>
</ul>
<p>The posting shall remain open until the position is filled, however for full consideration, please apply by close of business on June 30, 2020.</p>
<p>This posting was updated on 06/11/2020.</p>
<p>Notes:</p>
<ul>
<li>This is a full time, M-F, exempt from overtime pay (monthly paid), 1 year, Term appointment with the possibility of renewal for a total of 5 years or conversion to Career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs.</li>
<li>Salary is commensurate with experience.</li>
<li>This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment.</li>
<li>Work for this position will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA however the option of working remotely may be considered but is limited to individuals residing in the United States.</li>
</ul>
<p>How To Apply
Apply directly online at <a href=""http://50.73.55.13/counter.php?id=182299"">http://50.73.55.13/counter.php?id=182299</a> and follow the on-line instructions to complete the application process.</p>
<p>Berkeley Lab (LBNL, <a href=""https://www.lbl.gov/"">https://www.lbl.gov/</a>) addresses the world’s most urgent scientific challenges by advancing sustainable energy, protecting human health, creating new materials, and revealing the origin and fate of the universe. Founded in 1931, Berkeley Lab’s scientific expertise has been recognized with 13 Nobel prizes. The University of California manages Berkeley Lab for the U.S. Department of Energy’s Office of Science.</p>
<p>The ESDR Division (<a href=""https://appliedenergyscience.lbl.gov/"">https://appliedenergyscience.lbl.gov/</a>) works on developing advanced batteries and fuel cells for transportation and stationary energy storage, grid-connected technologies for a cleaner, more reliable, resilient, and cost-effective future, and demand response and distributed energy technologies for a dynamic electric grid.</p>
<p>Working at Berkeley Lab has many rewards including a competitive compensation program, excellent health and welfare programs, a retirement program that is second to none, and outstanding development opportunities.  To view information about the many rewards that are offered at Berkeley Lab - Click Here (<a href=""https://hr.lbl.gov/"">https://hr.lbl.gov/</a>).</p>
<p>Equal Employment Opportunity: Berkeley Lab is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. Berkeley Lab is in compliance with the Pay Transparency Nondiscrimination Provision (<a href=""https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html"">https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html</a>) under 41 CFR 60-1.4.  Click here (<a href=""https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm"">https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm</a>) to view the poster and supplement: ""Equal Employment Opportunity is the Law.""</p>
<p>Lawrence Berkeley National Laboratory encourages applications from women, minorities, veterans, and other underrepresented groups presently considering scientific research careers.</p>
",http://www.lbl.gov,,37.8769276,-122.2489253
31,Lawrence Berkeley National Laboratory ,Berkeley,Full Time,Web Developer (The Materials Project) ,"<p>Web Developer (The Materials Project) - 90287
Organization:  ED-Energy Storage &amp; Distributed Resources</p>
<p>Berkeley Lab’s Energy Storage &amp; Distributed Resources (ESDR) Division has an opening for a Web Developer to join the Materials Project!</p>
<p>In this role, you will work in a small team composed of both computer scientists and materials scientists, a team that will continue to grow and evolve as our fast-paced project pushes new boundaries. We are seeking web developers and designers who are versatile and passionate about both the front-end, ready to tackle new problems as we continue to push technology and science forward.</p>
<p>Be part of the revolution in scientific and technological breakthroughs brought on by advanced computing.  We are looking for someone with the desire and imagination to drive the Materials Project in new and exciting directions as the number and diversity of our simulations grow.</p>
<p>The Materials Project (<a href=""http://www.materialsproject.org"">www.materialsproject.org</a>) is a leader in the new wave of ""data-driven science"" that is already affecting how thousands of scientists, many of them world leaders in their fields, connect, explore, and interact with information and one another. We use millions of CPU-hours a year to compute the properties of advanced new materials, and disseminate the information with web interfaces and APIs.</p>
<p>What You Will Do:</p>
<ul>
<li>Develop and manage the Materials Project website: <a href=""http://www.materalsproject.org"">www.materalsproject.org</a>
</li>
<li>Develop responsive front-ends for scientists ranging from undergraduate students to senior researchers and professors.</li>
<li>Optimize website design for usability, scalability, and speed.</li>
<li>Write well designed and testable code in HTML/CSS/JS.</li>
<li>Employ continuous integration and deployment practices to ensure code quality and rapid development of new features.</li>
<li>Utilize website testing and web analytics to optimize website performance.</li>
<li>Develop new means of exploring, visualizing and sharing materials data.</li>
<li>Design and implement new “apps” for new types of materials analyses, such as assessing next-generation battery properties or stability of CO2 capturing catalysts in water.</li>
<li>Expand the project to new territories, such as crowdsourced discovery of new materials and ""sandboxes"" for private exploration of interesting chemical compounds.</li>
<li>Participate in discussions with science teams, workshops, and weekly meetings.</li>
</ul>
<p>What is Required:</p>
<ul>
<li>Bachelor’s Degree in Computer Science or a related discipline and a minimum of 5 years of related technical experience or an equivalent combination of education and experience.</li>
<li>Experience writing HTML, CSS and modern JavaScript (ES6) or TypeScript.</li>
<li>Experience building web sites with modern frontend web frameworks such as React, Angular, or Vue.</li>
<li>Experience working collaboratively using Git-based workflows.</li>
<li>Experience developing CI/CD pipelines for web projects.</li>
<li>Experience with Containerized service deployments.</li>
<li>Knowledge of User interface design principles and API Protocols including REST.</li>
</ul>
<p>What We Prefer:</p>
<ul>
<li>Master’s Degree in Computer Science or a related discipline.</li>
<li>Experience with mockup/wireframe/prototyping tools.</li>
<li>Knowledge of Authentication protocols and standards such as OAuth, OpenID and CAS.</li>
<li>Experience with NoSQL databases with MongoDB.</li>
<li>Experience with Firewall configuration.</li>
<li>Experience with Log analysis.</li>
</ul>
<p>The posting shall remain open until the position is filled, however for full consideration, please apply by close of business on June 30, 2020.</p>
<p>This posting was updated on 06/11/2020.</p>
<p>Notes:</p>
<ul>
<li>This is a full time, M-F, exempt from overtime pay (monthly paid), 1 year, Term appointment with the possibility of renewal for a total of 5 years or conversion to Career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs.</li>
<li>Salary is commensurate with experience.</li>
<li>This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment.</li>
<li>Work for this position will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA however the option of working remotely may be considered but is limited to individuals residing in the United States.</li>
</ul>
<p>How To Apply
Apply directly online at <a href=""http://50.73.55.13/counter.php?id=182299"">http://50.73.55.13/counter.php?id=182299</a> and follow the on-line instructions to complete the application process.</p>
<p>Berkeley Lab (LBNL, <a href=""https://www.lbl.gov/"">https://www.lbl.gov/</a>) addresses the world’s most urgent scientific challenges by advancing sustainable energy, protecting human health, creating new materials, and revealing the origin and fate of the universe. Founded in 1931, Berkeley Lab’s scientific expertise has been recognized with 13 Nobel prizes. The University of California manages Berkeley Lab for the U.S. Department of Energy’s Office of Science.</p>
<p>The ESDR Division (<a href=""https://appliedenergyscience.lbl.gov/"">https://appliedenergyscience.lbl.gov/</a>) works on developing advanced batteries and fuel cells for transportation and stationary energy storage, grid-connected technologies for a cleaner, more reliable, resilient, and cost-effective future, and demand response and distributed energy technologies for a dynamic electric grid.</p>
<p>Working at Berkeley Lab has many rewards including a competitive compensation program, excellent health and welfare programs, a retirement program that is second to none, and outstanding development opportunities.  To view information about the many rewards that are offered at Berkeley Lab - Click Here (<a href=""https://hr.lbl.gov/"">https://hr.lbl.gov/</a>).</p>
<p>Equal Employment Opportunity: Berkeley Lab is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. Berkeley Lab is in compliance with the Pay Transparency Nondiscrimination Provision (<a href=""https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html"">https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html</a>) under 41 CFR 60-1.4.  Click here (<a href=""https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm"">https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm</a>) to view the poster and supplement: ""Equal Employment Opportunity is the Law.""</p>
<p>Lawrence Berkeley National Laboratory encourages applications from women, minorities, veterans, and other underrepresented groups presently considering scientific research careers.</p>
",http://www.lbl.gov,,37.8769276,-122.2489253
32,Lawrence Berkeley National Laboratory ,Berkeley,Full Time,Web Developer (The Materials Project) ,"<p>Web Developer (The Materials Project) - 90287
Organization:  ED-Energy Storage &amp; Distributed Resources</p>
<p>Berkeley Lab’s Energy Storage &amp; Distributed Resources (ESDR) Division has an opening for a Web Developer to join the Materials Project!</p>
<p>In this role, you will work in a small team composed of both computer scientists and materials scientists, a team that will continue to grow and evolve as our fast-paced project pushes new boundaries. We are seeking web developers and designers who are versatile and passionate about both the front-end, ready to tackle new problems as we continue to push technology and science forward.</p>
<p>Be part of the revolution in scientific and technological breakthroughs brought on by advanced computing.  We are looking for someone with the desire and imagination to drive the Materials Project in new and exciting directions as the number and diversity of our simulations grow.</p>
<p>The Materials Project (<a href=""http://www.materialsproject.org"">www.materialsproject.org</a>) is a leader in the new wave of ""data-driven science"" that is already affecting how thousands of scientists, many of them world leaders in their fields, connect, explore, and interact with information and one another. We use millions of CPU-hours a year to compute the properties of advanced new materials, and disseminate the information with web interfaces and APIs.</p>
<p>What You Will Do:</p>
<ul>
<li>Develop and manage the Materials Project website: <a href=""http://www.materalsproject.org"">www.materalsproject.org</a>
</li>
<li>Develop responsive front-ends for scientists ranging from undergraduate students to senior researchers and professors.</li>
<li>Optimize website design for usability, scalability, and speed.</li>
<li>Write well designed and testable code in HTML/CSS/JS.</li>
<li>Employ continuous integration and deployment practices to ensure code quality and rapid development of new features.</li>
<li>Utilize website testing and web analytics to optimize website performance.</li>
<li>Develop new means of exploring, visualizing and sharing materials data.</li>
<li>Design and implement new “apps” for new types of materials analyses, such as assessing next-generation battery properties or stability of CO2 capturing catalysts in water.</li>
<li>Expand the project to new territories, such as crowdsourced discovery of new materials and ""sandboxes"" for private exploration of interesting chemical compounds.</li>
<li>Participate in discussions with science teams, workshops, and weekly meetings.</li>
</ul>
<p>What is Required:</p>
<ul>
<li>Bachelor’s Degree in Computer Science or a related discipline and a minimum of 5 years of related technical experience or an equivalent combination of education and experience.</li>
<li>Experience writing HTML, CSS and modern JavaScript (ES6) or TypeScript.</li>
<li>Experience building web sites with modern frontend web frameworks such as React, Angular, or Vue.</li>
<li>Experience working collaboratively using Git-based workflows.</li>
<li>Experience developing CI/CD pipelines for web projects.</li>
<li>Experience with Containerized service deployments.</li>
<li>Knowledge of User interface design principles and API Protocols including REST.</li>
</ul>
<p>What We Prefer:</p>
<ul>
<li>Master’s Degree in Computer Science or a related discipline.</li>
<li>Experience with mockup/wireframe/prototyping tools.</li>
<li>Knowledge of Authentication protocols and standards such as OAuth, OpenID and CAS.</li>
<li>Experience with NoSQL databases with MongoDB.</li>
<li>Experience with Firewall configuration.</li>
<li>Experience with Log analysis.</li>
</ul>
<p>The posting shall remain open until the position is filled, however for full consideration, please apply by close of business on June 30, 2020.</p>
<p>This posting was updated on 06/11/2020.</p>
<p>Notes:</p>
<ul>
<li>This is a full time, M-F, exempt from overtime pay (monthly paid), 1 year, Term appointment with the possibility of renewal for a total of 5 years or conversion to Career appointment based upon satisfactory job performance, continuing availability of funds and ongoing operational needs.</li>
<li>Salary is commensurate with experience.</li>
<li>This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment.</li>
<li>Work for this position will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA however the option of working remotely may be considered but is limited to individuals residing in the United States.</li>
</ul>
<p>How To Apply
Apply directly online at <a href=""http://50.73.55.13/counter.php?id=182299"">http://50.73.55.13/counter.php?id=182299</a> and follow the on-line instructions to complete the application process.</p>
<p>Berkeley Lab (LBNL, <a href=""https://www.lbl.gov/"">https://www.lbl.gov/</a>) addresses the world’s most urgent scientific challenges by advancing sustainable energy, protecting human health, creating new materials, and revealing the origin and fate of the universe. Founded in 1931, Berkeley Lab’s scientific expertise has been recognized with 13 Nobel prizes. The University of California manages Berkeley Lab for the U.S. Department of Energy’s Office of Science.</p>
<p>The ESDR Division (<a href=""https://appliedenergyscience.lbl.gov/"">https://appliedenergyscience.lbl.gov/</a>) works on developing advanced batteries and fuel cells for transportation and stationary energy storage, grid-connected technologies for a cleaner, more reliable, resilient, and cost-effective future, and demand response and distributed energy technologies for a dynamic electric grid.</p>
<p>Working at Berkeley Lab has many rewards including a competitive compensation program, excellent health and welfare programs, a retirement program that is second to none, and outstanding development opportunities.  To view information about the many rewards that are offered at Berkeley Lab - Click Here (<a href=""https://hr.lbl.gov/"">https://hr.lbl.gov/</a>).</p>
<p>Equal Employment Opportunity: Berkeley Lab is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. Berkeley Lab is in compliance with the Pay Transparency Nondiscrimination Provision (<a href=""https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html"">https://www.dol.gov/ofccp/PayTransparencyNondiscrimination.html</a>) under 41 CFR 60-1.4.  Click here (<a href=""https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm"">https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm</a>) to view the poster and supplement: ""Equal Employment Opportunity is the Law.""</p>
<p>Lawrence Berkeley National Laboratory encourages applications from women, minorities, veterans, and other underrepresented groups presently considering scientific research careers.</p>
",http://www.lbl.gov,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXFFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7e9b2b98a80b20de6ddd0d2562a153f66bdd0479/Lawrence%20Berkeley%20Lab%20blue%20background.png,37.8769276,-122.2489253
59,Arcadia,,Full Time,,,,,34.1362075,-118.0401497
60,Arcadia,,Full Time,,,https://www.arcadia.com,,34.1362075,-118.0401497
202,Game Closure,,Full Time,,,,,37.3902897,-122.0805114
203,Game Closure,,Full Time,,,http://gameclosure.com,,37.3902897,-122.0805114
215,Defendify,Maine,Full Time,,,https://www.defendify.io/,,44.507856,-67.859167
216,Defendify,Maine,Full Time,Full Stack Engineer,,https://www.defendify.io/,,44.507856,-67.859167
217,Defendify,Maine,Full Time,Full Stack Engineer,"<p>Thanks for your interest in working with us! Defendify is a fast-growing, fun-loving cybersecurity startup with a small, vibrant team based in Portland, Maine. Resourcefulness, responsiveness, problem-solving, and simplicity are values that shape who we are, what we do, and how we deliver amazing customer experiences.</p>
<p><strong>We're looking for a full stack developer to join us full-time, locally and/or in a remote capacity.</strong></p>
<p>This is a unique and exciting opportunity as we continue to expand the footprint of our groundbreaking, all-in-one cybersecurity platform. Every team member is a valuable contributor to our core SaaS product with day-to-day responsibilities covering a variety of development needs including building, maintaining, QA, and support for every aspect of the Defendify platform.</p>
<p><strong>We are looking for a team player who:</strong></p>
<ul>
<li>Has a passion for solving problems and is eager to grow, learn, and tackle daily and long-term challenges and goals.</li>
<li>Will dig in and ask questions from users to understand requirements; make a plan; dive into an existing codebase and learn where to make changes, or where to start new code.</li>
<li>Is a good communicator who enjoys collaboration and thrives in a development culture that values clean code, automation and testability.</li>
<li>Maintains excellent knowledge of how modern web applications work, including REST API usage, application security, cloud deployment and development best practices.</li>
<li>Is comfortable self-directing their own work. No micro-management here!</li>
</ul>
<p><strong>Requirements – Experience</strong></p>
<ul>
<li>3+ years of Full-Stack Development experience</li>
<li>Has been responsible for the entire lifecycle of code in at least one project, from scratch to QA to deployment to maintenance.</li>
<li>Has experience implementing a RESTful API and an application which consumes it.</li>
<li>Is familiar with the philosophy and implementation of development automation: tests, continuous integration, cloud deployment, and frequent production releases using an Agile/SCRUM process.</li>
<li>Some DevOps experience is a plus.</li>
</ul>
<p><strong>Requirements – Technical</strong></p>
<ul>
<li>Experienced in JavaScript including ES6, await/async, linting and front-end frameworks. We use libraries and frameworks as needed, but you need to be able to write and understand plain JS.</li>
<li>Experience with Node and Browser based environments is required.</li>
<li>Understand REST APIs and their role in application architectures.</li>
<li>Experience with front end development: HTML, CSS, and familiarity with the ecosystem of related technologies (SASS, DOM). In addition, Vue (or similar framework) experience and knowledge of static site generators such as Jekyll/Hugo are helpful.</li>
<li>Understand how to use Git(+Hub) and GitHub Flow.</li>
<li>Some relational database experience is preferred. Pluses include: Experiences in relational and in-memory databases (MySQL, Postgres, Redis) as well as knowledge in generic SQL.</li>
<li>Some experience with Amazon Web Services (AWS), Heroku, or similar services.</li>
</ul>
<p><strong>Your Success</strong></p>
<p>You are not alone in your role – Defendify's development team is made up of ""A"" players dedicated to your training and success. We thrive on an open-door policy and transparent management system that fosters team collaboration.</p>
<p><strong>Compensation and Benefits</strong></p>
<p>This is a flexible position open to candidates with varying levels of experience and offers long term growth potential via a well-defined career path. Compensation is competitive and commensurate with experience, and is variable based on personal and team performance. Our benefits package is comprehensive and includes health, dental, and vision coverage, educational reimbursement, a 401(k) program, paid time-off and more.</p>
<p><strong>Love What You Do</strong></p>
<p>Defendify employees enjoy a modern work environment and culture where everyone genuinely cares about the work they do. We're passionate about our product, the problems we're solving, our customers, our partners, and our team. We're in it together, enjoying work and play every day from team lunches, impromptu social outings and celebrations, and charity missions. And yes, there is coffee, lots and lots of coffee!</p>
<p><strong>Opportunity Knocks</strong></p>
<p>This position offers a great opportunity to make an impact as a part of a small team solving big problems, making cybersecurity possible for Small Business. Are you a creative self-starter with an appetite to learn and grow? If so, we'd love to hear from you!</p>
",https://www.defendify.io/,,44.507856,-67.859167
