State,Type,Description,URL
ME,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.maine.gov/labor/unemployment/howtofile.html#phone
,,,
MI,UI General Online,Insurance Information,https://www.michigan.gov/uia
MI,UI Claim Online,"Website for filing unemployment insurance
","https://www.michigan.gov/uia/0,1607,7-118-52610_52650-207424--,00.html"
MI,UI by Phone,Telephone Support for Unemployment Insurance Filing,"https://www.michigan.gov/uia/0,4680,7-118-52610-207602--,00.html"
,,,
MN,UI General Online,Insurance Information,https://www.uimn.org/uimn/
MN,UI Claim Online,"Website for filing unemployment insurance
","
http://www.uimn.org/uimn/applicants/index.jsp"
MN,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.uimn.org/applicants/contact-us/index.jsp
,,,
MO,UI General Online,Insurance Information,"
https://labor.mo.gov/unemployed-workers"
MO,UI Claim Online,"Website for filing unemployment insurance
",https://uinteract.labor.mo.gov/benefits/home.do
MO,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://labor.mo.gov/contact-labor
,,,
MS,UI General Online,Insurance Information,https://www.mdes.ms.gov/information-center/about-mdes/online-services/
MS,UI Claim Online,"Website for filing unemployment insurance
",http://www.mdes.ms.gov/
MS,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-888-844-3577
,,,
MT,UI General Online,Insurance Information,http://uid.dli.mt.gov/
MT,UI Claim Online,"Website for filing unemployment insurance
",https://montanaworks.gov/Job-Seeker-UI-Claimant
MT,UI by Phone,Telephone Support for Unemployment Insurance Filing,406-444-2545
,,,
NC,UI General Online,Insurance Information,https://des.nc.gov/apply-unemployment
NC,UI Claim Online,"Website for filing unemployment insurance
",https://fed.des.nc.gov/ofis/citizen/pages/public/Login.aspx
NC,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-877-737-0259
,,,
ND,UI General Online,Insurance Information,https://www.jobsnd.com/unemployment-individuals
ND,UI Claim Online,"Website for filing unemployment insurance
",https://www.jobsnd.com/unemployment-individuals/resources-unemployment-individuals
ND,UI by Phone,Telephone Support for Unemployment Insurance Filing,701-328-4995
,,,
NE,UI General Online,Insurance Information,https://dol.nebraska.gov/UIBenefits
NE,UI Claim Online,"Website for filing unemployment insurance
",https://neworks.nebraska.gov/vosnet/Default.aspx
NE,UI by Phone,Telephone Support for Unemployment Insurance Filing,"
https://uibenefits.nwd.ne.gov/BPSWeb/jsp/BPSTelephone.jsp"
,,,
NH,UI General Online,Insurance Information,https://www.nhes.nh.gov/services/claimants/index.htm
NH,UI Claim Online,"Website for filing unemployment insurance
",https://nhuis.nh.gov/claimant/
NH,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-800-266-2252
,,,
NJ,UI General Online,Insurance Information,https://myunemployment.nj.gov/labor/myunemployment/before/about/
NJ,UI Claim Online,"Website for filing unemployment insurance
",https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/index.shtml
NJ,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/applybyphone.shtml
,,,
NM,UI General Online,Insurance Information,http://www.dws.state.nm.us/en-us/
NM,UI Claim Online,"Website for filing unemployment insurance
",http://www.dws.state.nm.us/en-us/
NM,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-877-664-6984
,,,
NV,UI General Online,Insurance Information,http://ui.nv.gov/css.html
NV,UI Claim Online,"Website for filing unemployment insurance
",http://ui.nv.gov/css.html
NV,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://ui.nvdetr.org/uinv_contact_us.htm
,,,
NY,UI General Online,Insurance Information,https://labor.ny.gov/unemploymentassistance.shtm
NY,UI Claim Online,"Website for filing unemployment insurance
",https://applications.labor.ny.gov/IndividualReg/
NY,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://labor.ny.gov/ui/claimantinfo/ContactInfo.shtm
,,,
OH,UI General Online,Insurance Information,https://unemployment.ohio.gov/PublicSelfServiceChoice.html
OH,UI Claim Online,"Website for filing unemployment insurance
",http://jfs.ohio.gov/ouc/
OH,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-877-644-6562
,,,
OK,UI General Online,Insurance Information,https://oesc.ok.gov
OK,UI Claim Online,"Website for filing unemployment insurance
",https://ui.ok.gov
OK,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-800-555-1554
,,,
OR,UI General Online,Insurance Information,
OR,UI Claim Online,"Website for filing unemployment insurance
",https://secure.emp.state.or.us/ocs4/index.cfm?u=F20161026A115006B48721263.5255&lang=E
OR,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx#
,,,
PA,UI General Online,Insurance Information,http://www.uc.pa.gov/unemployment-benefits/file/Pages/File%20an%20Initial%20Claim.aspx
PA,UI Claim Online,"Website for filing unemployment insurance
",http://www.uc.pa.gov/unemployment-benefits/Pages/default.aspx#.VszW2PkrLcs
PA,UI by Phone,Telephone Support for Unemployment Insurance Filing,"http://www.uc.pa.gov/pages/contact-us-uc-benefits-info.aspx
"
,,,
PR,UI General Online,Insurance Information,"https://desempleo.trabajo.pr.gov/reclamacionsubsiguiente/
"
PR,UI Claim Online,"Website for filing unemployment insurance
",https://www.trabajo.pr.gov/desempleo_en_linea.asp
PR,UI by Phone,Telephone Support for Unemployment Insurance Filing,"http://www.servicelocator.org/search/Puerto_Rico_ES_Addresses.asp
"
,,,
RI,UI General Online,Insurance Information,http://www.dlt.ri.gov/ui/
RI,UI Claim Online,"Website for filing unemployment insurance
",http://www.dlt.ri.gov/ui/
RI,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.dlt.state.ri.us/ui/fileclaim2.htm
,,,
SC,UI General Online,Insurance Information,https://dew.sc.gov/individuals/apply-for-benefits/claims-process
SC,UI Claim Online,"Website for filing unemployment insurance
",http://dew.sc.gov
SC,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-800-529-8339.
,,,
SD,UI General Online,Insurance Information,http://dlr.sd.gov/ui/individuals/file_claim.aspx
SD,UI Claim Online,"Website for filing unemployment insurance
",http://dlr.sd.gov/ui/default.aspx
SD,UI by Phone,Telephone Support for Unemployment Insurance Filing,605-626-3179
,,,
TN,UI General Online,Insurance Information,https://www.tn.gov/workforce/unemployment.html
TN,UI Claim Online,"Website for filing unemployment insurance
",https://www.tn.gov/workforce/unemployment.html
TN,UI by Phone,Telephone Support for Unemployment Insurance Filing,844-224-5818
,,,
TX,UI General Online,Insurance Information,http://www.twc.state.tx.us/jobseekers/unemployment-benefits-services
TX,UI Claim Online,"Website for filing unemployment insurance
","https://www.twc.texas.gov/jobseekers/unemployment-benefits-services#applyForBenefits
"
TX,UI by Phone,Telephone Support for Unemployment Insurance Filing,"https://www.twc.texas.gov/jobseekers/applying-unemployment-benefits#howToApply
"
,,,
UT,UI General Online,Insurance Information,https://jobs.utah.gov/ui/initialclaims/welcome.aspx
UT,UI Claim Online,"Website for filing unemployment insurance
",https://jobs.utah.gov/ui/ContinuedClaims/UIAccountHome.aspx
UT,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://jobs.utah.gov/ui/jobseeker/contactus.html
,,,
VA,UI General Online,Insurance Information,http://www.vec.virginia.gov/unemployed/online-services/apply-for-unemployment-benefits
VA,UI Claim Online,"Website for filing unemployment insurance
",http://www.vec.virginia.gov/unemployed
VA,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-866-832-2363
,,,
VT,UI General Online,Insurance Information,https://labor.vermont.gov/unemployment-insurance/
VT,UI Claim Online,"Website for filing unemployment insurance
",http://labor.vermont.gov/unemployment-insurance/unemployed/establishing-an-unemployment-claim/
VT,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-877-214-3331.
,,,
WA,UI General Online,Insurance Information,https://esd.wa.gov/unemployment
WA,UI Claim Online,"Website for filing unemployment insurance
","https://secure.esd.wa.gov/home/
"
WA,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-800-318-6022
,,,
WI,UI General Online,Insurance Information,https://dwd.wisconsin.gov/uiben/
WI,UI Claim Online,"Website for filing unemployment insurance
",https://dwd.wisconsin.gov/ui/
WI,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://dwd.wisconsin.gov/uiben/services.htm#help
,,,
WV,UI General Online,Insurance Information,"http://workforcewv.org/unemployment.html
"
WV,UI Claim Online,"Website for filing unemployment insurance
","https://workforcewv.org/unemployment/claimants/filing-an-initial-claim
"
WV,UI by Phone,Telephone Support for Unemployment Insurance Filing,"https://uc.workforcewv.org/Contact.aspx
"
,,,
WY,UI General Online,Insurance Information,"http://www.wyomingworkforce.org/workers/ui/
"
WY,UI Claim Online,"Website for filing unemployment insurance
",https://doe.state.wy.us/InetClaims/
WY,UI by Phone,Telephone Support for Unemployment Insurance Filing,307-473-3789 
,,,
USA,,,
