State,Type,Description,URL
CT,UI by Phone,Telephone support for filing unemployment insurance,http://www.ctdol.state.ct.us/UI-OnLine/index.htm
,,,
DC,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://does.dcnetworks.org/InitialClaims/
DC,UI Claim Online,"Website for filing unemployment insurance
",http://does.dc.gov/service/unemployment-compensation-process
DC,UI by Phone,Telephone support for filing unemployment insurance,202-724-7000
,,,
DE,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://ui.delawareworks.com/
DE,UI Claim Online,"Website for filing unemployment insurance
",https://uics.delawareworks.com/Forms/Form_WL1
DE,UI by Phone,Telephone support for filing unemployment insurance,https://ui.delawareworks.com/telebenefits.php
,,,
FL,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.floridajobs.org/job-seekers-community-services
FL,UI Claim Online,"Website for filing unemployment insurance
",https://covid19.floridajobs.org/
FL,UI by Phone,Telephone support for filing unemployment insurance,1-800-204-2418
,,,
GA,UI General Insurance Info,https://dol.georgia.gov/unemployment-benefits,
GA,UI Claim Online,"Website for filing unemployment insurance
",https://dol.georgia.gov/file-unemployment-insurance-claim
GA,UI by Phone,Telephone support for filing unemployment insurance,404-232-3180
,,,
HI,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://labor.hawaii.gov/ui/
HI,UI Claim Online,"Website for filing unemployment insurance
",https://huiclaims.hawaii.gov/#/
HI,UI by Phone,Telephone support for filing unemployment insurance,http://labor.hawaii.gov/ui/contact/
,,,
IA,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.iowaworkforcedevelopment.gov/file-claim-unemployment-insurance-benefits
IA,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaims.iwd.iowa.gov/UIInitialClaim/
IA,UI by Phone,Telephone support for filing unemployment insurance,https://www.iowaworkforcedevelopment.gov/
,,,
ID,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.idaho.gov/dnn/Unemployment-Benefits
ID,UI Claim Online,"Website for filing unemployment insurance
",https://www2.labor.idaho.gov/ClaimantPortal/Login?ReturnUrl=/claimantportal
ID,UI by Phone,Telephone support for filing unemployment insurance,https://www.labor.idaho.gov/dnn/Contact
,,,
IL,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
IL,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
IL,UI by Phone,Telephone support for filing unemployment insurance,http://www.ides.illinois.gov/SitePages/ContactIDES.aspx
IL,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,https://puaclaimant.ides.illinois.gov/Claimant/Core/Login.ASPX
IL,UI Offices,Local unemployment offices,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers.aspx?location=Illinois&radius=25&ct=0&y=0&w=0&e=0&sortcolumns=Location&sortdirections=ASC
IL,UI Community,"Local community organizations (nonprofits, churches, etc)",
IL,UI Emergency,Emergency relief funding based on where you live (county or city),https://www.ilcovidresponsefund.org/grants.html
IL,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.illinoisworknet.com/wioa
IL,UI College,Scholarships / grants for college,https://www2.ed.gov/about/offices/list/ope/caresact.html
IL,UI Child Care,Funding for child and family services,https://coronavirus.illinois.gov/s/resources-for-families-and-children
IL,UI Small Business,Grants for small business owners,https://www2.illinois.gov/dceo/SmallBizAssistance/Pages/EmergencySBAIntiatives.aspx
IL,UI Rent,Mortgage assistance,https://www.hud.gov/sites/dfiles/SFH/documents/COVID-19HomeownerHelp.pdf
IL,UI Health,Health insurance assistance,https://www2.illinois.gov/sites/coronavirus/Resources/Pages/providers-and-facilities.aspx
IL,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",https://coronavirus.illinois.gov/s/mental-health
IL,UI Internet,Free & Low Cost Internet Plans,https://www.digitalinclusion.org/free-low-cost-internet-plans/
,,,
IN,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
IN,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
IN,UI by Phone,Telephone support for filing unemployment insurance,https://www2.illinois.gov/ides/aboutides/Pages/Contact_IDES.aspx
,,,
KS,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.getkansasbenefits.gov/Home.aspx
KS,UI Claim Online,"Website for filing unemployment insurance
",https://www.getkansasbenefits.gov/BenefitsStartMenu.aspx
KS,UI by Phone,Telephone support for filing unemployment insurance,https://www.dol.ks.gov/contact-kdol
,,,
KY,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://kcc.ky.gov/career/If-you-are-Unemployed/Pages/default.aspx
KY,UI Claim Online,"Website for filing unemployment insurance
",http://www.kewes.ky.gov/
KY,UI by Phone,Telephone support for filing unemployment insurance,http://www.kewes.ky.gov/
,,,
LA,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.louisianaworks.net/hire/vosnet/Default.aspx
LA,UI Claim Online,"Website for filing unemployment insurance
",https://www.louisianaworks.net/hire/vosnet/loginintro.aspx?action=CLAIMWEEKS
LA,UI by Phone,Telephone support for filing unemployment insurance,1-866-783-5567
,,,
MA,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.mass.gov/orgs/department-of-unemployment-assistance
MA,UI Claim Online,"Website for filing unemployment insurance
",https://www.mass.gov/unemployment-insurance-ui-online
MA,UI by Phone,Telephone support for filing unemployment insurance,https://www.mass.gov/orgs/department-of-unemployment-assistance
,,,
MD,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dllr.state.md.us/employment/unemployment.shtml
MD,UI Claim Online,"Website for filing unemployment insurance
",http://www.dllr.state.md.us/employment/unemployment.shtml
MD,UI by Phone,Telephone support for filing unemployment insurance,http://www.dllr.state.md.us/employment/officenum.shtml
,,,
ME,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.maine.gov/unemployment/claimants/
ME,UI Claim Online,"Website for filing unemployment insurance
",https://reemployme.maine.gov/accessme/faces/login/login_local.xhtml
ME,UI by Phone,Telephone support for filing unemployment insurance,https://www.maine.gov/labor/unemployment/howtofile.html#phone
,,,
MI,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.michigan.gov/uia
MI,UI Claim Online,"Website for filing unemployment insurance
","https://www.michigan.gov/uia/0,1607,7-118-52610_52650-207424--,00.html"
MI,UI by Phone,Telephone support for filing unemployment insurance,"https://www.michigan.gov/uia/0,4680,7-118-52610-207602--,00.html"
,,,
MN,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.uimn.org/uimn/
MN,UI Claim Online,"Website for filing unemployment insurance
","
http://www.uimn.org/uimn/applicants/index.jsp"
MN,UI by Phone,Telephone support for filing unemployment insurance,https://www.uimn.org/applicants/contact-us/index.jsp
,,,
MO,UI General Insurance Info,General Information about the Unemployment Insurance Program,"
https://labor.mo.gov/unemployed-workers"
MO,UI Claim Online,"Website for filing unemployment insurance
",https://uinteract.labor.mo.gov/benefits/home.do
MO,UI by Phone,Telephone support for filing unemployment insurance,https://labor.mo.gov/contact-labor
,,,
MS,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.mdes.ms.gov/information-center/about-mdes/online-services/
MS,UI Claim Online,"Website for filing unemployment insurance
",http://www.mdes.ms.gov/
MS,UI by Phone,Telephone support for filing unemployment insurance,1-888-844-3577
,,,
MT,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://uid.dli.mt.gov/
MT,UI Claim Online,"Website for filing unemployment insurance
",https://montanaworks.gov/Job-Seeker-UI-Claimant
MT,UI by Phone,Telephone support for filing unemployment insurance,406-444-2545
,,,
NC,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://des.nc.gov/apply-unemployment
NC,UI Claim Online,"Website for filing unemployment insurance
",https://fed.des.nc.gov/ofis/citizen/pages/public/Login.aspx
NC,UI by Phone,Telephone support for filing unemployment insurance,1-877-737-0259
,,,
ND,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.jobsnd.com/unemployment-individuals
ND,UI Claim Online,"Website for filing unemployment insurance
",https://www.jobsnd.com/unemployment-individuals/resources-unemployment-individuals
ND,UI by Phone,Telephone support for filing unemployment insurance,701-328-4995
,,,
NE,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dol.nebraska.gov/UIBenefits
NE,UI Claim Online,"Website for filing unemployment insurance
",https://neworks.nebraska.gov/vosnet/Default.aspx
NE,UI by Phone,Telephone support for filing unemployment insurance,"
https://uibenefits.nwd.ne.gov/BPSWeb/jsp/BPSTelephone.jsp"
,,,
NH,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.nhes.nh.gov/services/claimants/index.htm
NH,UI Claim Online,"Website for filing unemployment insurance
",https://nhuis.nh.gov/claimant/
NH,UI by Phone,Telephone support for filing unemployment insurance,1-800-266-2252
,,,
NJ,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://myunemployment.nj.gov/labor/myunemployment/before/about/
NJ,UI Claim Online,"Website for filing unemployment insurance
",https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/index.shtml
NJ,UI by Phone,Telephone support for filing unemployment insurance,https://myunemployment.nj.gov/labor/myunemployment/before/about/howtoapply/applybyphone.shtml
,,,
NM,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dws.state.nm.us/en-us/
NM,UI Claim Online,"Website for filing unemployment insurance
",http://www.dws.state.nm.us/en-us/
NM,UI by Phone,Telephone support for filing unemployment insurance,1-877-664-6984
,,,
NV,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://ui.nv.gov/css.html
NV,UI Claim Online,"Website for filing unemployment insurance
",http://ui.nv.gov/css.html
NV,UI by Phone,Telephone support for filing unemployment insurance,http://ui.nvdetr.org/uinv_contact_us.htm
,,,
NY,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.ny.gov/unemploymentassistance.shtm
NY,UI Claim Online,"Website for filing unemployment insurance
",https://applications.labor.ny.gov/IndividualReg/
NY,UI by Phone,Telephone support for filing unemployment insurance,https://labor.ny.gov/ui/claimantinfo/ContactInfo.shtm
,,,
OH,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://unemployment.ohio.gov/PublicSelfServiceChoice.html
OH,UI Claim Online,"Website for filing unemployment insurance
",http://jfs.ohio.gov/ouc/
OH,UI by Phone,Telephone support for filing unemployment insurance,1-877-644-6562
,,,
OK,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://oesc.ok.gov
OK,UI Claim Online,"Website for filing unemployment insurance
",https://ui.ok.gov
OK,UI by Phone,Telephone support for filing unemployment insurance,1-800-555-1554
,,,
OR,UI General Insurance Info,General Information about the Unemployment Insurance Program,
OR,UI Claim Online,"Website for filing unemployment insurance
",https://secure.emp.state.or.us/ocs4/index.cfm?u=F20161026A115006B48721263.5255&lang=E
OR,UI by Phone,Telephone support for filing unemployment insurance,https://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx#
,,,
PA,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.uc.pa.gov/unemployment-benefits/file/Pages/File%20an%20Initial%20Claim.aspx
PA,UI Claim Online,"Website for filing unemployment insurance
",http://www.uc.pa.gov/unemployment-benefits/Pages/default.aspx#.VszW2PkrLcs
PA,UI by Phone,Telephone support for filing unemployment insurance,"http://www.uc.pa.gov/pages/contact-us-uc-benefits-info.aspx
"
,,,
PR,UI General Insurance Info,General Information about the Unemployment Insurance Program,"https://desempleo.trabajo.pr.gov/reclamacionsubsiguiente/
"
PR,UI Claim Online,"Website for filing unemployment insurance
",https://www.trabajo.pr.gov/desempleo_en_linea.asp
PR,UI by Phone,Telephone support for filing unemployment insurance,"http://www.servicelocator.org/search/Puerto_Rico_ES_Addresses.asp
"
,,,
RI,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.dlt.ri.gov/ui/
RI,UI Claim Online,"Website for filing unemployment insurance
",http://www.dlt.ri.gov/ui/
RI,UI by Phone,Telephone support for filing unemployment insurance,http://www.dlt.state.ri.us/ui/fileclaim2.htm
,,,
SC,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dew.sc.gov/individuals/apply-for-benefits/claims-process
SC,UI Claim Online,"Website for filing unemployment insurance
",http://dew.sc.gov
SC,UI by Phone,Telephone support for filing unemployment insurance,1-800-529-8339.
,,,
SD,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://dlr.sd.gov/ui/individuals/file_claim.aspx
SD,UI Claim Online,"Website for filing unemployment insurance
",http://dlr.sd.gov/ui/default.aspx
SD,UI by Phone,Telephone support for filing unemployment insurance,605-626-3179
,,,
TN,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.tn.gov/workforce/unemployment.html
TN,UI Claim Online,"Website for filing unemployment insurance
",https://www.tn.gov/workforce/unemployment.html
TN,UI by Phone,Telephone support for filing unemployment insurance,844-224-5818
,,,
TX,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.twc.state.tx.us/jobseekers/unemployment-benefits-services
TX,UI Claim Online,"Website for filing unemployment insurance
",https://www.twc.texas.gov/jobseekers/unemployment-benefits-services
TX,UI by Phone,Telephone support for filing unemployment insurance,"https://www.twc.texas.gov/jobseekers/applying-unemployment-benefits#howToApply
"
TX,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,
TX,UI Offices,Local unemployment offices,
TX,UI Community,"Local community organizations (nonprofits, churches, etc)",
TX,UI Emergency,Emergency relief funding based on where you live (county or city),
TX,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.dol.gov/agencies/eta/wioa/about/
TX,UI College,Scholarships / grants for college,
TX,UI Child Care,Funding for child services,
TX,UI Small Business,Grants for small business owners,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options
TX,UI Rent,Rent / mortgage assistance,https://www.makinghomeaffordable.gov/pages/default.aspx
TX,UI Health,Health insurance assistance,https://www.tdi.texas.gov//takefive/health-insurance-options.html
TX,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",
,,,
,,,
UT,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://jobs.utah.gov/ui/initialclaims/welcome.aspx
UT,UI Claim Online,"Website for filing unemployment insurance
",https://jobs.utah.gov/ui/ContinuedClaims/UIAccountHome.aspx
UT,UI by Phone,Telephone support for filing unemployment insurance,https://jobs.utah.gov/ui/jobseeker/contactus.html
,,,
VA,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.vec.virginia.gov/unemployed/online-services/apply-for-unemployment-benefits
VA,UI Claim Online,"Website for filing unemployment insurance
",http://www.vec.virginia.gov/unemployed
VA,UI by Phone,Telephone support for filing unemployment insurance,1-866-832-2363
,,,
VT,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.vermont.gov/unemployment-insurance/
VT,UI Claim Online,"Website for filing unemployment insurance
",http://labor.vermont.gov/unemployment-insurance/unemployed/establishing-an-unemployment-claim/
VT,UI by Phone,Telephone support for filing unemployment insurance,1-877-214-3331.
,,,
WA,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://esd.wa.gov/unemployment
WA,UI Claim Online,"Website for filing unemployment insurance
","https://secure.esd.wa.gov/home/
"
WA,UI by Phone,Telephone support for filing unemployment insurance,1-800-318-6022
,,,
WI,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://dwd.wisconsin.gov/uiben/
WI,UI Claim Online,"Website for filing unemployment insurance
",https://dwd.wisconsin.gov/ui/
WI,UI by Phone,Telephone support for filing unemployment insurance,https://dwd.wisconsin.gov/uiben/services.htm#help
,,,
WV,UI General Insurance Info,General Information about the Unemployment Insurance Program,"http://workforcewv.org/unemployment.html
"
WV,UI Claim Online,"Website for filing unemployment insurance
","https://workforcewv.org/unemployment/claimants/filing-an-initial-claim
"
WV,UI by Phone,Telephone support for filing unemployment insurance,"https://uc.workforcewv.org/Contact.aspx
"
,,,
WY,UI General Insurance Info,General Information about the Unemployment Insurance Program,"http://www.wyomingworkforce.org/workers/ui/
"
WY,UI Claim Online,"Website for filing unemployment insurance
",https://doe.state.wy.us/InetClaims/
WY,UI by Phone,Telephone support for filing unemployment insurance,307-473-3789
